1, Insertion+GRASP
a280.tsp,    2796.68
ali535.tsp,  2194.68
att532.tsp,  95278.72
d1291.tsp,   55837.31
d1665.tsp,   67847.16
d2103.tsp,   83354.07
d493.tsp,    37937.91
d657.tsp,    54524.77
dsj1000.tsp, 20657356.07
fl1400.tsp,  21646.28
fl1577.tsp,  24405.16
fl417.tsp,   12712.88
gil262.tsp,  2590.11
gr431.tsp,   2046.59
gr666.tsp,   3377.25
lin318.tsp,  45926.30
nrw1379.tsp, 62295.46
p654.tsp,    38255.21
pcb1173.tsp, 62811.54
pcb442.tsp,  55414.92
pr1002.tsp,  284900.40
pr299.tsp,   52282.79
pr439.tsp,   117717.59
rat575.tsp,  7420.70
rat783.tsp,  9664.22
rd400.tsp,   16515.94
rl1304.tsp,  283443.11
rl1323.tsp,  301249.17
rl1889.tsp,  352256.86
u1060.tsp,   250829.17
u1432.tsp,   167766.50
u1817.tsp,   63120.91
u574.tsp,    41019.72
u724.tsp,    47271.16
vm1084.tsp,  261148.58
vm1748.tsp,  372341.92
